iter	Passed	Remaining
0	2	207
1	3	167
2	5	181
3	7	181
4	9	177
5	11	172
6	13	175
7	15	177
8	17	174
9	19	173
10	21	171
11	23	169
12	24	167
13	26	165
14	28	163
15	30	162
16	33	161
17	35	160
18	36	157
19	39	156
20	40	154
21	42	151
22	44	148
23	46	146
24	47	143
25	49	141
26	51	138
27	53	136
28	54	134
29	56	132
30	58	129
31	59	126
32	61	124
33	62	122
34	64	119
35	66	117
36	67	115
37	69	113
38	70	110
39	72	109
40	74	106
41	75	104
42	77	102
43	79	100
44	80	98
45	82	97
46	84	94
47	85	92
48	87	90
49	88	88
50	90	86
51	91	84
52	93	82
53	94	80
54	96	78
55	97	76
56	98	74
57	100	72
58	101	70
59	103	68
60	105	67
61	106	65
62	108	63
63	109	61
64	111	59
65	113	58
66	114	56
67	116	54
68	117	52
69	119	51
70	121	49
71	122	47
72	123	45
73	125	44
74	126	42
75	128	40
76	130	38
77	132	37
78	133	35
79	135	33
80	136	32
81	138	30
82	140	28
83	141	27
84	143	25
85	145	23
86	146	21
87	148	20
88	149	18
89	151	16
90	153	15
91	154	13
92	156	11
93	158	10
94	160	8
95	161	6
96	163	5
97	164	3
98	166	1
99	167	0
